name,model,price,os_name,is_gaming,color,material,construction,usb_a,usb_c,video_slots,touch_screen,screen_type,diagonal,resolution,refresh_rate,cpu,p_cores,e_cores,ram_size,ram_slots,gpu_inserted,gpu_discrete,ssd_size,ssd_slots,battery_time,weight,score
17 Ноутбук MSI Vector 17 HX AI A2XWHG серый,MSI Vector 17 HX AI A2XWHG,269999,Windows 11 Home,1,серый,пластик,классический,USB 3.2 Gen2 x2,USB 3.2 Gen2 x2,HDMI,нет,IPS,17.0,2560x1600,240,Intel Core Ultra 9 275HX,8,16,32,0,Intel UHD Graphics,GeForce RTX 5070 Ti,1000,M.2 PCIe,,3.0,441.99
16 Ноутбук Lenovo Legion Pro 7 16IAX10H черный,Lenovo Legion Pro 7 16IAX10H,389999,без ОС,1,черный,алюминий,классический,"USB 3.2 Gen1 x2, USB 3.2 Gen2","USB 3.2 Gen1 x2, USB 3.2 Gen2","HDMI, USB Type-C x2",нет,OLED,16.0,2560x1600,240,Intel Core Ultra 9 275HX,8,16,64,0,Intel UHD Graphics,GeForce RTX 5080,1000,M.2 PCIe 2242,,2.57,558.43
16 Ноутбук Lenovo Legion Pro 7 16IAX10H черный,Lenovo Legion Pro 7 16IAX10H,369999,без ОС,1,черный,алюминий,классический,"USB 3.2 Gen1 x2, USB 3.2 Gen2","USB 3.2 Gen1 x2, USB 3.2 Gen2","HDMI, USB Type-C x2",нет,OLED,16.0,2560x1600,240,Intel Core Ultra 9 275HX,8,16,32,0,Intel UHD Graphics,GeForce RTX 5080,1000,M.2 PCIe 2242,,2.57,526.43
14 Ноутбук HP Elite x360 1040 G10 серебристый,HP Elite x360 1040 G10,189999,Windows 11 Pro,0,серебристый,алюминий,трансформер,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C x2",есть,IPS,14.0,1920x1200,60,Intel Core i7-1365U,2,8,16,0,Intel Iris Xe Graphics,нет,512,нет,,1.34,127.66
14 Ноутбук HP Probook 440 G11 серебристый,HP Probook 440 G11,89299,без ОС,0,серебристый,алюминий,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,HDMI,нет,IPS,14.0,1920x1200,60,Intel Core Ultra 7 155U,2,10,16,1,Intel Arc Graphics,нет,512,нет,,1.39,134.87
16 Ноутбук Acer Aspire Lite 16 AL16-52P-529L серый,Acer Aspire Lite 16 AL16-52P-529L,50299,без ОС,0,серый,,классический,USB 3.2 Gen1 x3,USB 3.2 Gen1 x3,HDMI,нет,IPS,16.0,1920x1200,60,Intel Core i5-1334U,2,8,16,0,Intel UHD Graphics,нет,512,нет,,1.7,122.46
16 Ноутбук Acer Nitro V 16 ANV16-41-R7HN черный,Acer Nitro V 16 ANV16-41-R7HN,117499,без ОС,1,черный,пластик,классический,USB 3.2 Gen2 x2,USB 3.2 Gen2 x2,"HDMI, USB Type-C",нет,IPS,16.0,1920x1200,165,AMD Ryzen 5 8645HS,6,0,16,0,AMD Radeon 760M,GeForce RTX 4060,1000,M.2 PCIe,7.0,2.5,278.35
15.6 Ноутбук Acer Aspire Go AG15-41P-R4XX серебристый,Acer Aspire Go AG15-41P-R4XX,67499,без ОС,0,серебристый,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,AMD Ryzen 7 7735HS,8,0,16,0,AMD Radeon 680M,нет,1000,нет,8.0,1.8,182.03
15.6 Ноутбук Tecno Megabook K15SDA серый,Tecno Megabook K15SDA,36499,Windows 11 Home,0,серый,алюминий,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,AMD Ryzen 5 7430U,6,0,8,1,AMD Radeon Graphics,нет,512,нет,,1.7,109.1
15.6 Ноутбук Asus ExpertBook B1 B1502CBA-BQ0422 черный,Asus ExpertBook B1 B1502CBA-BQ0422,57999,без ОС,0,черный,,классический,"USB 2.0, USB 3.2 Gen1","USB 2.0, USB 3.2 Gen1","HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,Intel Core i5-1235U,2,8,8,1,Intel UHD Graphics,нет,512,нет,,1.69,105.45
15.6 Ноутбук Tecno Megabook K15SDA серый,Tecno Megabook K15SDA,35299,Windows 11 Home,0,серый,алюминий,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,AMD Ryzen 5 7430U,6,0,8,1,AMD Radeon Graphics,нет,256,нет,,1.7,106.54
15.6 Ноутбук Asus ExpertBook B1 B1502CBA-BQ2992 черный,Asus ExpertBook B1 B1502CBA-BQ2992,54299,без ОС,0,черный,пластик,классический,"USB 2.0, USB 3.2 Gen1","USB 2.0, USB 3.2 Gen1","HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,Intel Core i3-1215U,2,4,8,1,Intel UHD Graphics,нет,512,нет,,1.69,83.72
15.6 Ноутбук Tecno Megabook K15SRA серый,Tecno Megabook K15SRA,54799,Windows 11 Home,0,серый,алюминий,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,60,Intel Core i5-13420H,4,4,16,0,Intel Iris Xe Graphics,нет,1000,нет,,1.7,159.34
13.6 Ноутбук Apple MacBook Air M4 золотистый,Apple MacBook Air M4,168999,macOS,0,золотистый,алюминий,классический,,,USB Type-C x2,нет,IPS,13.6,2560x1664,60,Apple M4 10-core,4,6,24,0,Apple M4 10-core,нет,512,нет,18.0,1.24,388.58
15.6 Ноутбук HP Victus 15-fa1034nn белый,HP Victus 15-fa1034nn,88999,без ОС,1,белый,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,144,Intel Core i5-12450H,4,4,16,0,Intel UHD Graphics,GeForce RTX 4050,512,нет,,2.29,230.55
15.6 Ноутбук HP Victus 15-fa1082wm серебристый,HP Victus 15-fa1082wm,94999,Windows 11 Home,1,серебристый,пластик,классический,USB 3.2 Gen1 x2,USB 3.2 Gen1 x2,"HDMI, USB Type-C",нет,IPS,15.6,1920x1080,144,Intel Core i5-13420H,4,4,16,0,Intel UHD Graphics,GeForce RTX 4050,512,нет,,2.29,246.94
14 Ноутбук Samsung Galaxy Book 4 Pro серый,Samsung Galaxy Book 4 Pro,133999,Windows 11 Home,0,серый,алюминий,классический,USB 3.2 Gen2,USB 3.2 Gen2,"HDMI, USB Type-C x2",есть,AMOLED,14.0,2880x1800,120,Intel Core Ultra 5 125H,4,10,16,0,Intel Arc Graphics,нет,512,M.2 PCIe,,1.23,167.25
